time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-05-27T00:00:00.0000000Z,2019-05-28T00:00:00.0000000Z,2019-05-27T00:00:00.2940000Z,2019-05-27T23:59:59.9730000Z,8612.54,8908.32,8589.0,8756.32,51642.078885,476534
2019-05-26T00:00:00.0000000Z,2019-05-27T00:00:00.0000000Z,2019-05-26T00:00:00.4530000Z,2019-05-26T23:59:59.7040000Z,8023.0,8740.0,7833.42,8614.43,49652.144567,377306
2019-05-25T00:00:00.0000000Z,2019-05-26T00:00:00.0000000Z,2019-05-25T00:00:00.0400000Z,2019-05-25T23:59:59.0310000Z,7964.52,8091.8,7908.34,8025.41,28409.578399,264406
2019-05-24T00:00:00.0000000Z,2019-05-25T00:00:00.0000000Z,2019-05-24T00:00:00.2100000Z,2019-05-24T23:59:59.5680000Z,7849.95,8130.0,7766.0,7964.87,46646.329034,428446
2019-05-23T00:00:00.0000000Z,2019-05-24T00:00:00.0000000Z,2019-05-23T00:00:00.6410000Z,2019-05-23T23:59:59.8470000Z,7627.8,7940.98,7461.0,7851.51,49640.769302,449172
2019-05-22T00:00:00.0000000Z,2019-05-23T00:00:00.0000000Z,2019-05-22T00:00:00.7340000Z,2019-05-22T23:59:57.9380000Z,7904.48,8016.0,7465.0,7628.43,49136.994589,461337
2019-05-21T00:00:00.0000000Z,2019-05-22T00:00:00.0000000Z,2019-05-21T00:00:00.5360000Z,2019-05-21T23:59:59.2440000Z,7937.16,8042.32,7771.0,7904.87,52297.190434,553990
2019-05-20T00:00:00.0000000Z,2019-05-21T00:00:00.0000000Z,2019-05-20T00:00:00.0770000Z,2019-05-20T23:59:59.5280000Z,8147.94,8156.03,7553.0,7938.15,65858.93992,610354
2019-05-19T00:00:00.0000000Z,2019-05-20T00:00:00.0000000Z,2019-05-19T00:00:00.0500000Z,2019-05-19T23:59:59.9990000Z,7257.32,8275.09,7243.08,8148.48,65577.379514,583431
2019-05-18T00:00:00.0000000Z,2019-05-19T00:00:00.0000000Z,2019-05-18T00:00:00.3250000Z,2019-05-18T23:59:57.4730000Z,7355.28,7458.0,7156.61,7257.45,37051.315144,379446
2019-05-17T00:00:00.0000000Z,2019-05-18T00:00:00.0000000Z,2019-05-17T00:00:01.2490000Z,2019-05-17T23:59:59.5540000Z,7868.67,7925.0,6913.0,7355.26,88735.513929,803768
2019-05-16T00:00:00.0000000Z,2019-05-17T00:00:00.0000000Z,2019-05-16T00:00:00.2170000Z,2019-05-16T23:59:59.9540000Z,8169.08,8320.0,7705.0,7866.59,69618.374863,666401
2019-05-15T00:00:00.0000000Z,2019-05-16T00:00:00.0000000Z,2019-05-15T00:00:01.4400000Z,2019-05-15T23:59:59.8040000Z,7945.26,8249.0,7850.0,8169.87,37881.146782,347496
2019-05-14T00:00:00.0000000Z,2019-05-15T00:00:00.0000000Z,2019-05-14T00:00:00.1930000Z,2019-05-14T23:59:59.8520000Z,7795.62,8366.0,7599.56,7947.56,76682.4243,656495
2019-05-13T00:00:00.0000000Z,2019-05-14T00:00:00.0000000Z,2019-05-13T00:00:01.2210000Z,2019-05-13T23:59:59.7520000Z,6968.24,8100.0,6870.0,7790.71,83739.528722,578814
2019-05-12T00:00:00.0000000Z,2019-05-13T00:00:00.0000000Z,2019-05-12T00:00:00.0430000Z,2019-05-12T23:59:59.2910000Z,7076.24,7521.78,6750.0,6967.31,86690.041316,645081
2019-05-11T00:00:00.0000000Z,2019-05-12T00:00:00.0000000Z,2019-05-11T00:00:00.6430000Z,2019-05-11T23:59:59.7310000Z,6375.16,7343.99,6372.85,7076.22,73886.373175,561029
2019-05-10T00:00:00.0000000Z,2019-05-11T00:00:00.0000000Z,2019-05-10T00:00:01.3920000Z,2019-05-10T23:59:59.7300000Z,6209.95,6468.92,6172.0,6373.33,36623.61079,283074
2019-05-09T00:00:00.0000000Z,2019-05-10T00:00:00.0000000Z,2019-05-09T00:00:00.1150000Z,2019-05-09T23:59:59.7600000Z,5986.66,6224.55,5983.71,6209.18,37974.216625,316545
